Restaurant ID,Longitude,Latitude
17330638,-84.991384,32.468757
17330628,-84.963201,32.527217
17330546,-85.0213,32.7455
16643459,-110.7746994,52.0082889
17334434,-84.9396931,34.5251331
17334348,-84.926258,34.474635
17334213,-84.9523921,34.4972488
17334355,-84.767911,34.752476
17334212,-84.969393,34.769686
17333797,-85.0039,34.7643
17334217,-84.992342,34.759551
17334273,-84.992924,34.759665
17334254,-84.999678,34.758645
17333836,-84.9678,34.7742
17334197,-84.990925,34.759273
17333882,-84.9964,34.7604
17334211,-85.2229101,34.9428786
17334390,-85.246237,34.9528157
17334034,-85.2545,34.9546
17334414,-85.294955,34.705093
17334082,-85.1321,34.9273
17334364,-85.130492,34.912109
17334398,-85.1079396,34.9151853
17334219,-85.249727,34.851907
17335173,-90.496986,41.574935
17335195,-90.522479,41.53845
17335225,-90.4912446,41.5747801
17335219,-90.504176,41.548746
17334965,-90.50709,41.525384
17335189,-90.574088,41.593892
17335156,-90.565837,41.574459
17334717,-90.5716,41.5604
17334752,-90.5737,41.5223
18453427,-90.59466452,41.52253634
17793744,-90.5154313,41.5709434
17334679,-90.5683,41.5699
17334718,-90.5321,41.5749
17334763,-90.5432,41.5747
17335158,-90.572418,41.520389
17334782,-90.5137,41.5745
17334846,-90.5686,41.559
17334853,-90.6136,41.5944
17335168,-90.515175,41.570997
17334958,-90.517,41.5747
17258496,-93.610084,42.010254
17259395,-93.643094,42.048779
17258350,-93.677638,41.614965
17258136,-93.739573,41.600564
17258522,-93.760027,41.60028
17259958,-93.627896,41.583309
17258036,-93.6300803,41.5857431
17259368,-93.621631,41.585465
17257684,-93.637401,41.587219
17258154,-93.620726,41.58536
17259340,-93.629436,41.584027
17259243,-93.611366,41.590819
17259625,-93.61474,41.590106
17259169,-93.577383,41.601415
17259166,-93.645245,41.545869
17259335,-93.6976773,41.6714654
17259248,-93.659797,41.603901
17258552,-93.772033,41.615083
17259550,-93.73624,41.594039
17259200,-93.7441981,41.5991771
16615894,153.137401,-26.783576
17342816,-90.667668,42.504759
17342498,-90.6499328,42.5124724
17342648,-90.6684746,42.5032004
17342781,-90.658609,42.496464
17342799,-90.664029,42.495689
17342772,-90.715247,42.492018
17342771,-90.740213,42.49092
17342548,-90.7264,42.4955
17342556,-90.645294,42.516621
17342811,-90.712084,42.492963
17342576,-90.6646,42.5043
17342770,-90.668164,42.503075
17342585,-90.7055,42.4916
17342494,-90.6677349,42.500191
17342594,-90.6691,42.5048
17342625,-90.6651,42.4974
17342652,-90.6658,42.4963
17342665,-90.663686,42.4982789
17342810,-90.684882,42.527556
17342775,-90.658988,42.496378
16612028,153.593331,-28.862663
17536645,-119.252694,39.607515
16613507,152.8771473,-26.6521332
16607969,143.714315,-38.517292
17374405,-83.8461,34.0901
17375060,-83.520693,34.61802
17375164,-83.985353,34.532973
17374552,-83.9858,34.5318
17375078,-83.983939,34.533626
17375049,-83.989317,34.541044
17375077,-83.986119,34.533198
17375141,-83.938024,34.183573
17375198,-83.926217,34.185707
17375180,-83.927794,34.180043
17375072,-83.838457,34.285102
17375047,-83.857993,34.300182
17375074,-83.860098,34.222755
17374921,-83.824023,34.300567
17374819,-83.8272,34.3166
17375089,-83.82686,34.300332
17375214,-83.727741,34.701594
17374951,-83.7345,34.7024
17374978,-83.7334,34.7021
17375104,-83.713498,34.691208
16604358,144.1387014,-37.3123267
16604896,144.110062,-37.275494
16612550,150.6710743,-35.0388698
16606299,145.7287133,-38.6347458
16605794,147.9942247,-37.8783865
17557488,-120.3458,42.1885
17452342,-96.7072,40.8143
16611498,151.558475,-32.728097
17842104,144.564174,-37.423189
17501291,-83.594494,32.567741
17500759,-83.657061,32.853896
17500767,-83.6737,32.8496
17500819,-83.6766,32.8899
17500911,-83.6279,32.8361
17501439,-83.627979,32.83641
17501279,-83.713978,32.929278
17500695,-83.6276,32.8375
17501298,-83.628703,32.83654
17500847,-83.787993,32.928495
17500872,-83.6873,32.901
17501315,-83.662421,32.556873
17501201,-83.624,32.5786
17501247,-83.6665,32.6184
17501281,-83.691044,32.552684
17501143,-83.64935,32.594666
17501292,-83.636618,32.6176839
17501308,-83.600201,32.619321
17501301,-83.665557,32.593264
17501268,-83.7184,32.6147
16611701,151.7343832,-32.899178
17482142,-85.7363,46.3718
16609169,117.917166,-35.025861
17606621,-98.9891,44.5158
17687832,-89.653487,42.606306
16613059,152.893735,-26.690462
17534788,-106.057666,36.313638
17061237,-81.381077,28.540432
17057397,-81.585226,28.405437
17058534,-81.514608,28.372858
17060320,-81.517725,28.371338
17057925,-81.469986,28.440344
17060869,-81.4510725,28.4676808
17057591,-81.471526,28.437065
17059541,-81.471447,28.433235
17064266,-81.364347,28.560505
17064405,-81.364547,28.557845
17060516,-81.487978,28.448175
17059012,-81.266871,28.811653
17061296,-81.351467,28.543571
17061205,-81.522987,28.527592
17064031,-81.322631,28.601088
17066603,-81.357219,28.597366
17057797,-81.3508344,28.5976271
17061253,-81.352921,28.592857
17059060,-81.36526,28.596682
17061231,-81.356024,28.593297
16613649,145.670768,-16.748083
18255631,147.7227832,-37.9194154
16608483,140.837409,-37.379153
17580453,-86.8573393,30.4025979
17580142,-87.2027,30.4179
17580160,-87.1819,30.4251
17580349,-87.2216,30.4982
17580412,-87.205855,30.417318
17580590,-87.213274,30.403034
17580704,-87.2150874,30.4116106
17579928,-87.2080932,30.4473322
17579992,-87.2092,30.4101
17580030,-87.2153054,30.411878
17580074,-87.2252,30.4767
17580020,-87.211082,30.407358
17580350,-87.214,30.4692
17580408,-87.143,30.3359
17579653,-87.142602,30.335521
17580476,-87.132932,30.334776
17580422,-87.164376,30.327864
17580539,-87.149178,30.34262
17580511,-87.4218962,30.3199824
17580021,-87.427707,30.308468
16604370,145.237813,-38.448307
17582467,-112.3415,43.1903
17582668,-112.461326,42.910518
17582498,-112.0132,42.62
17582499,-112.0127,42.6192
17582522,-112.4423,42.8661
17582524,-112.4516,42.8919
17582527,-112.441,42.8928
17582551,-112.4397,42.8631
17582558,-112.4365,42.8604
17582560,-112.4524,42.8639
17582677,-112.459988,42.878077
17582670,-112.443213,42.860024
17582625,-112.432,42.9012
17582627,-112.4433,42.8942
17582700,-112.452013,42.88245
17582664,-112.45253,42.863969
17582682,-112.450106,42.861871
17582669,-112.4413856,42.8585987
18491935,-112.44853,42.891174
17582546,-112.4419,42.8774
17629582,-116.704731,32.613431
17211719,-74.651139,40.352385
17144717,-157.948486,21.677078
17143970,-155.997362,19.642752
17142698,-157.813432,21.284586
17144991,-156.455284,20.748838
17142519,-156.451847,20.731487
17145408,-156.4309473,20.6883746
17143336,-156.452556,20.733554
17145077,-156.674835,20.885226
17141447,-156.684967,20.886564
17142096,-156.667037,20.992316
17142297,-156.693821,20.921347
17142535,-156.680666,20.876127
17142792,-156.366445,20.929622
17145495,-157.825979,21.279476
17143950,-157.8312476,21.2794952
17142747,-157.822716,21.271826
17141990,-157.827196,21.277583
17144732,-157.831538,21.280663
17143282,-157.831176,21.279154
17143705,-157.836031,21.285396
17615915,-81.0954,32.0804
17616487,-81.096647,32.052858
17615924,-81.0894,32.0785
17615979,-81.0955,32.0727
17616266,-81.0911,32.0775
17615976,-81.0916,32.0809
17616025,-81.0844,32.0782
17615597,-81.0875,32.0798
17615740,-81.0979,32.0735
17616203,-81.0941,32.0801
17616590,-81.0905213,32.0794767
17615855,-81.0897,32.0812
17616348,-81.091482,32.074495
17616368,-81.097051,32.080742
17616400,-81.092484,32.081394
17616076,-81.0939,32.0747
17616205,-81.0897,32.0798
17616222,-81.0908,32.0809
17616295,-80.865909,32.011689
17616465,-80.848297,31.99581
18483372,103.8600048,1.2826608
18484349,103.8594222,1.285476931
18496057,103.8403602,1.279419756
18483389,103.8416688,1.280502991
18483222,103.8536048,1.293220698
18483085,103.8430222,1.27944363
18484423,103.859422,1.300404333
18483714,103.8070809,1.331128397
18485469,103.8146178,1.29782554
18479690,103.8621195,1.310668316
18483224,103.8604162,1.311550709
18493989,103.8558665,1.289761964
18484464,103.859955,1.2905805
18483051,103.8601766,1.290800881
18482983,103.840921,1.278373182
18479742,103.8584296,1.301707168
18482938,103.839165,1.290083898
18483082,103.8581813,1.303034648
18483446,103.8482541,1.28197
18483252,103.8519943,1.299707726
17621616,-96.1608,42.7956
17621696,-96.379,42.4765
17621744,-96.4173,42.5026
17621759,-96.4051,42.492
17621763,-96.4046,42.4965
17621780,-96.3479,42.4391
17621781,-96.362,42.4375
17621788,-96.3596,42.4764
17621793,-96.4048,42.4985
17621796,-96.378049,42.495534
17621831,-96.3755,42.4876
17621832,-96.4063904,42.4930681
17621833,-96.418,42.5212
17621834,-96.3691,42.4351
17621869,-96.3959487,42.4944454
17621960,-96.349464,42.440592
17621746,-96.4136,42.5011
17621755,-96.4204,42.5106
17621946,-96.4019631,42.4949153
17621552,-96.4092028,42.485608
17096140,-82.762624,27.96076
17099925,-82.636924,27.770026
17092257,-82.6329663,27.7737426
17092799,-82.6333294,27.7711464
17095222,-82.632174,27.775462
17092293,-82.482962,27.931516
17102241,-82.46887,27.941942
17102579,-82.469306,27.944244
17092801,-82.4852372,27.9410382
17093273,-82.483124,27.935039
17096198,-82.843253,27.848357
17095098,-82.673621,27.792047
17093135,-82.820856,27.816086
17095236,-82.41294,28.082909
17095979,-82.638843,27.816848
17099856,-82.4932815,27.9219315
17100307,-82.451041,27.993645
17093600,-82.449897,27.995964
17100547,-82.459339,27.99384
17093124,-82.4351499,27.959884
16608059,138.966064,-34.519619
16605194,144.41272,-37.396942
17678243,-83.319123,30.846819
17678043,-83.3247,30.8426
17677978,-83.2799,30.8332
17677988,-83.3170843,30.8164364
17678231,-83.318554,30.841892
17677990,-83.279,30.8308
17677991,-83.2792,30.8308
17678307,-83.3085736,30.8223548
17678276,-83.316402,30.824691
17678283,-83.28078,30.850888
17678222,-83.29633,30.880146
17678055,-83.2851,30.8433
17678326,-83.281,30.8465
17678229,-83.310343,30.846763
17678097,-83.3283,30.8971
17678216,-83.318958,30.841547
17678233,-83.289338,30.87114
17678148,-83.2868,30.868
17678291,-83.2796,30.8316
17678218,-83.332796,30.897087
17558738,-123.1954368,45.858667
